t41_pin,function,gpio,net_or_rail
1,SSI_SLV_DR,PC18,/PA08
2,UART0_CTS,PC11,/UART0_CTS
3,SSI_SLV_CLK,PC15,/PA06
4,SSI_SLV_CE0,PC16,/PA07
5,SSI_SLV_DT,PC17,/PA09
6,MSC1_D1,PC05,NC
7,MSC1_D0,PC04,NC
8,VDD,,+0V8
9,VDDIO2,,+3V3
10,MSC1_CMD,PC03,NC
11,MSC1_CLK,PC02,/PA14
12,MSC1_D3,PC07,NC
13,MSC1_D2,PC06,NC
14,VDD,,+0V8
15,EXCLK_XIN,,/EXCLK_XIN
16,EXCLK_XOUT,,/EXCLK_XOUT
17,VDDIO18,,+1V8
18,GPIO_PA18,PA18,/PA18
19,MCLK,PA15,/PA15
20,SMB0_SDA,PA12,/I2C0_SDA
21,SMB0_SCK,PA13,/I2C0_SCK
22,CSI_VCCA18,,+1V8
23,CSI_DATAP0,,/MIPI_0_P
24,CSI_DATAN0,,/MIPI_0_N
25,CSI_CLKP,,/MIPI_CLK_P
26,CSI_CLKN,,/MIPI_CLK_N
27,CSI_DATAP1,,/MIPI_1_P
28,CSI_DATAN1,,/MIPI_1_N
29,MICPL,,/MICLP
30,MICNL,,/MICNL
31,CODEC_USB_AVDD,,+1V8
32,VDD,,+0V8
33,VCM,,/VCM
34,HPOUTL,,/HPOUTL
35,USB0PN,,/USB_D-
36,USB0PP,,/USB_D+
37,USB_AVD33,,+3V3
38,SFC0_CE,PA28,/NOR_CE
39,SFC0_DR_IO1,PA24,/NOR_DR
40,VDDIO1,,+3V3
41,VDD,,+0V8
42,SFC0_WP_IO2,PA26,/NOR_WP
43,SFC0_DT_IO0,PA23,/NOR_DT
44,SFC0_CLK,PA27,/NOR_CK
45,SFC0_HOLD_IO3,PA25,/NOR_HOLD
46,GMAC_PHY_CLK,PB07,/PHYCLK
47,GMAC_RXDV,PB09,/RXDV
48,GMAC_MDIO,PB11,/MDIO
49,GMAC_MDCK,PB10,/MDCK
50,VDDIO18,,+1V8
51,SADC_VIN0,,/AUX0
52,SADC_VREFP_AVDD,,+1V8
53,GMAC_TXEN,PB08,/TXEN
54,GMAC_TXD1,PB14,/TXD1
55,GMAC_TXD0,PB13,/TXD0
56,GMAC_TXCLK,PB06,/TXCLK
57,GMAC_RXD1,PB16,/RXD1
58,GMAC_RXD0,PB15,/RXD0
59,VDD,,+0V8
60,POR_CTL,,/POR_CTL
61,MSC0_D1,PB01,/MMC0_D1
62,MSC0_CLK,PB04,/MMC0_CLK
63,MSC0_D0,PB00,/MMC0_D0
64,MSC0_D3,PB03,/MMC0_D3
65,VDDIO1,,+3V3
66,VDD,,+0V8
67,MSC0_D2,PB02,/MMC0_D2
68,MSC0_CMD,PB05,/MMC0_CMD
69,UART1_RXD,PB24,/UART_RX
70,UART1_TXD,PB23,/UART_TX
71,PWM1,PB18,/PB18
72,PWM0,PB17,/PB17
73,DMIC_DAT1,PB30,/PB30
74,DMIC_DAT0,PB29,/PB29
75,DMIC_CLK,PB28,/PB28
76,DRV_VBUS,PB27,/PB27
77,SMB1_SDA,PB25,/PB25
78,SMB1_SCK,PB26,/PB26
79,GPIO_PB31,PB31,/PB31
80,BOOT_SEL0,PC00,/BOOT_SEL0
81,VDD,,+0V8
82,DDRVDD,,+1V35
83,DDR_ZQ,,/DDR_ZQ
84,RZQ,,/RZQ
85,DDRPLL_VCCA,,+1V8
86,DDR_VREF,,/DDR_VREF
87,DDRVDD,,+1V35
88,VDD,,+0V8
89,UART2_CTS,PC19,/PA16
90,UART2_RTS,PC20,/PA17
91,UART2_RXD,PC14,/PA11
92,UART2_TXD,PC13,/PA10
93,EFUSE_AVDD,,GND
94,UART0_RXD,PC09,/UART0_RXD
95,UART0_TXD,PC08,/UART0_TXD
96,UART0_RTS,PC12,/UART0_RTS
97,EP,,GND
